"CO2_value","no_CO2_value","many_CO2_value","CH4_value","no_CH4_value","many_CH4_value","fluxID","meas_set","dborigin","folder","error"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,889,"30_db1",1,"Karstula76","CO2 flux found, series 889"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,890,"30_db1",1,"Karstula76","CO2 flux found, series 890"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,891,"30_db1",1,"Karstula76","CO2 flux found, series 891"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,892,"30_db1",1,"Karstula76","CO2 flux found, series 892"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,893,"30_db1",1,"Karstula76","CO2 flux found, series 893"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,894,"30_db1",1,"Karstula76","CO2 flux found, series 894"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,895,"30_db1",1,"Karstula76","CO2 flux found, series 895"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,896,"30_db1",1,"Karstula76","CO2 flux found, series 896"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,897,"30_db1",1,"Karstula76","CO2 flux found, series 897"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,898,"30_db1",1,"Karstula76","CO2 flux found, series 898"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,899,"30_db1",1,"Karstula76","CO2 flux found, series 899"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,900,"30_db1",1,"Karstula76","CO2 flux found, series 900"
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,901,"30_db1",1,"Karstula76","Multiple CO2 fluxes found for series 901 - using first"
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,902,"30_db1",1,"Karstula76","Multiple CO2 fluxes found for series 902 - using first"
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,903,"30_db1",1,"Karstula76","Multiple CO2 fluxes found for series 903 - using first"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,904,"30_db1",1,"Karstula76","CO2 flux found, series 904"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,905,"30_db1",1,"Karstula76","CO2 flux found, series 905"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,906,"30_db1",1,"Karstula76","CO2 flux found, series 906"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,907,"30_db1",1,"Karstula76","CO2 flux found, series 907"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,908,"30_db1",1,"Karstula76","CO2 flux found, series 908"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,909,"30_db1",1,"Karstula76","CO2 flux found, series 909"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,910,"30_db1",1,"Karstula76","CO2 flux found, series 910"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,911,"30_db1",1,"Karstula76","CO2 flux found, series 911"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,912,"30_db1",1,"Karstula76","CO2 flux found, series 912"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,913,"30_db1",1,"Karstula76","CO2 flux found, series 913"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,914,"30_db1",1,"Karstula76","CO2 flux found, series 914"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,915,"30_db1",1,"Karstula76","CO2 flux found, series 915"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,916,"30_db1",1,"Karstula76","CO2 flux found, series 916"
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,917,"30_db1",1,"Karstula76","Multiple CO2 fluxes found for series 917 - using first"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,918,"30_db1",1,"Karstula76","CO2 flux found, series 918"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,919,"30_db1",1,"Karstula76","CO2 flux found, series 919"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,920,"30_db1",1,"Karstula76","CO2 flux found, series 920"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,921,"30_db1",1,"Karstula76","CO2 flux found, series 921"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,922,"30_db1",1,"Karstula76","CO2 flux found, series 922"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,923,"30_db1",1,"Karstula76","CO2 flux found, series 923"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,924,"30_db1",1,"Karstula76","CO2 flux found, series 924"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,925,"30_db1",1,"Karstula76","CO2 flux found, series 925"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,926,"30_db1",1,"Karstula76","CO2 flux found, series 926"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,927,"30_db1",1,"Karstula76","CO2 flux found, series 927"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,928,"30_db1",1,"Karstula76","CO2 flux found, series 928"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,929,"30_db1",1,"Karstula76","CO2 flux found, series 929"
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,930,"30_db1",1,"Karstula76","CO2 flux found, series 930"
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,931,"30_db1",1,"Karstula76","Multiple CO2 fluxes found for series 931 - using first"
