"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"1",350,14,"jgarciapausas",1,"HoliSoils","2024-06-04T06:54:11.992502Z","2023-05-18","submitted","Llobera","undetermined","2023-05-18_Llobera_EGM5.TXT","invalid","2023-05-18_Llobera_EGM5.xlsx","","Fieldform read error: row 104 has duration < 30 seconds ",TRUE,FALSE
"2",353,14,"jgarciapausas",1,"HoliSoils","2024-06-04T06:57:02.548053Z","2023-06-16","submitted","Llobera","undetermined","2023-06-16_Llobera_EGM5.TXT","invalid","2023-06-16_Llobera_EGM5.xlsx","","Fieldform read error: row 3 has duration < 30 seconds ",TRUE,FALSE
"3",354,14,"jgarciapausas",1,"HoliSoils","2024-06-04T07:16:27.687278Z","2023-06-29","submitted","Secanella","invalid","2023-06-29_Secanella_EGM5.TXT","valid","2023-06-29_Secanella_EGM5.xlsx","","Datafile read error: read_df_egm5: cannot parse Date column ",TRUE,FALSE
"4",345,14,"jgarciapausas",1,"HoliSoils","2024-06-04T06:47:25.030528Z","2023-03-29","submitted","Llobera","invalid","2023-03-29_Llobera_EGM5.TXT","valid","2023-03-29_Llobera_EGM5.xlsx","","Datafile read error: read_df_egm5: error in pandas.read_csv() - Could not determine delimiter",TRUE,FALSE
"5",364,14,"jgarciapausas",1,"HoliSoils","2024-06-04T08:41:55.326066Z","2023-10-10","submitted","Llobera","invalid","2023-10-10_Llobera_EGM5.TXT","valid","2023-10-10_Llobera_EGM5.xlsx","","Datafile read error: read_df_egm5: cannot parse Date column ",TRUE,FALSE
"6",358,14,"jgarciapausas",1,"HoliSoils","2024-06-04T08:05:16.813062Z","2023-08-03","submitted","Llobera","invalid","2023-08-03_Llobera_EGM5.TXT","valid","2023-08-03_Llobera_EGM5.xlsx","","Datafile read error: read_df_egm5: cannot parse Date column ",TRUE,FALSE
"7",862,19,"spulkka",1,"HoliSoils","2024-07-25T07:18:00.936625Z","2024-06-11","submitted","Ränskälänkorpi","valid","2024-06-11_ränskälänkorpi_licor_TG10-01285_surfaces.data.txt","valid","2024-06-11_ränskälänkorpi_licor_tg10-01285_surfaces.xlsx","Ränskälänkorpi","",TRUE,TRUE
"8",1239,19,"spulkka",1,"HoliSoils","2024-09-13T11:37:11.831338Z","2024-09-03","submitted","Ränskälänkorpi","valid","2024-09-03_ranskalankorpi_licor_tg10-01285.txt","valid","2024-09-03_ranskalankorpi_licor_tg10-01285.xlsx","Ränskälänkorpi","",TRUE,TRUE
"9",1179,38,"lmattila",1,"HoliSoils","2024-08-28T05:18:57.909366Z","2024-08-27","submitted","Ränskälänkorpi","valid","2024-08-27_ranskalankorpi_licor_tg10-01285.txt","valid","2024-08-27_ranskalankorpi_licor_tg10-01285.xlsx","Ränskälänkorpi","",TRUE,TRUE
"10",1191,27,"jsuominen",1,"HoliSoils","2024-08-29T13:08:01.168333Z","2024-08-20","retracted","Ränskälänkorpi","valid","2024-08-20_ranskalankorpi_surfaces_licor_tg10-01285.txt","valid","2024-08-20_ranskalankorpi_surfaces_licor_tg10-01285.xlsx","Ränskälänkorpi","",TRUE,TRUE
"11",1192,27,"jsuominen",1,"HoliSoils","2024-08-29T13:10:43.341278Z","2024-08-21","retracted","Ränskälänkorpi","valid","2024-08-21_ranskalankorpi_surfaces_licor_tg10-01285.txt","valid","2024-08-21_ranskalankorpi_surfaces_licor_tg10-01285.xlsx","Ränskälänkorpi","",TRUE,TRUE
"12",1849,45,"msantonja",1,"HoliSoils","2024-10-29T15:46:31.956910Z","2022-10-10","retracted","Saint-Mitre","valid","2022-10-24_st_mitre_egm5_01.TXT","valid","2022-10-24_st_mitre_egm5_01.xlsx","Saint Mitre","",TRUE,TRUE
